ID;DLCFile;Experiment;Test.No.;Test.box;cage;animal.ID;group;Sex;Genotype;raw;mp4
CRS1LDB_1;CRS1LDB_1DeepCut_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv;LDB;1;1;401029;1086;Control;M;wt;CRS1LDB_1.avi;CRS1LDB_1.mp4
CRS1LDB_3;CRS1LDB_3DeepCut_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv;LDB;3;3;401031;1092;Repeated;M;wt;CRS1LDB_3.avi;CRS1LDB_3.mp4
CRS1LDB_4;CRS1LDB_4DeepCut_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv;LDB;4;4;401035;1106;Control;F;wt;CRS1LDB_4.avi;CRS1LDB_4.mp4
CRS1LDB_6;CRS1LDB_6DeepCut_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv;LDB;6;2;401545;1113;Repeated;F;wt;CRS1LDB_6.avi;CRS1LDB_6.mp4
CRS1LDB_7;CRS1LDB_7DeepCut_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv;LDB;7;3;401032;1095;Control;M;wt;CRS1LDB_7.avi;CRS1LDB_7.mp4
CRS1LDB_9;CRS1LDB_9DeepCut_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv;LDB;9;1;401034;1102;Repeated;M;wt;CRS1LDB_9.avi;CRS1LDB_9.mp4
CRS1LDB_10;CRS1LDB_10DeepCut_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv;LDB;10;2;401038;1119;Control;F;wt;CRS1LDB_10.avi;CRS1LDB_10.mp4
CRS1LDB_12;CRS1LDB_12DeepCut_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv;LDB;12;4;401037;1116;Repeated;F;wt;CRS1LDB_12.avi;CRS1LDB_12.mp4
CRS1LDB_13;CRS1LDB_13DeepCut_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv;LDB;13;1;401027;1081;Control;M;wt;CRS1LDB_13.avi;CRS1LDB_13.mp4
CRS1LDB_15;CRS1LDB_15DeepCut_resnet50_OFFICAL LDB DLC NETWORKDec9shuffle1_1030000.csv;LDB;15;3;401539;1082;Repeated;M;wt;CRS1LDB_15.avi;CRS1LDB_15.mp4
