ID;Condition;DLCFile;Session;Treatment;Dosage;TimePoint;Experiment;Animal;Sex;VideoFile
OFT_1;CSI;1_01_A_190507114629DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_1;NA;OFT_1.mp4
OFT_2;CSI;19_02_A_190507123740DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_2;NA;OFT_2.mp4
OFT_3;CSI;7_01_A_190507132652DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_3;NA;OFT_3.mp4
OFT_4;CSI;24_02_A_190507141305DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_4;NA;OFT_4.mp4
OFT_5;CSI;13_01_A_190507145949DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_5;NA;OFT_5.mp4
OFT_6;CSI;17_02_A_190507120259DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_6;NA;OFT_6.mp4
OFT_7;CSI;5_01_A_190507125512DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_7;NA;OFT_7.mp4
OFT_8;CSI;22_02_A_190507134157DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_8;NA;OFT_8.mp4
OFT_9;CSI;11_01_A_190507142850DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_9;NA;OFT_9.mp4
OFT_10;CSI;28_02_A_190507151545DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_10;NA;OFT_10.mp4
OFT_11;CSI;3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_11;NA;OFT_11.mp4
OFT_12;CSI;21_02_A_190507131119DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_12;NA;OFT_12.mp4
OFT_13;CSI;9_01_A_190507135719DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_13;NA;OFT_13.mp4
OFT_14;CSI;26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_14;NA;OFT_14.mp4
