ID;Condition;DLCFile;Session;Treatment;Dosage;TimePoint;Experiment;Animal
OFT_1;CSI;1_01_A_190507114629DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_1
OFT_2;CSI;19_02_A_190507123740DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_2
OFT_3;CSI;7_01_A_190507132652DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_3
OFT_4;CSI;24_02_A_190507141305DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_4
OFT_5;CSI;13_01_A_190507145949DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_5
OFT_6;CSI;17_02_A_190507120259DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_6
OFT_7;CSI;5_01_A_190507125512DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_7
OFT_8;CSI;22_02_A_190507134157DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_8
OFT_9;CSI;11_01_A_190507142850DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_9
OFT_10;CSI;28_02_A_190507151545DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_10
OFT_11;CSI;3_01_A_190507121945DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_11
OFT_12;CSI;21_02_A_190507131119DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_12
OFT_13;CSI;9_01_A_190507135719DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_13
OFT_14;CSI;26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_14
OFT_15;CSI;15_01_A_190507153142DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_15
OFT_16;CSI;48_04_A_190507123817DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_16
OFT_17;CSI;36_03_A_190507132711DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_17
OFT_18;CSI;54_04_A_190507141337DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_18
OFT_19;CSI;42_03_A_190507150017DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_19
OFT_20;CSI;30_03_A_190507114720DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_20
OFT_21;CSI;34_03_A_190507125548DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_21
OFT_22;CSI;52_04_A_190507134227DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_22
OFT_23;CSI;40_03_A_190507142917DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_23
OFT_24;CSI;58_04_A_190507151611DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_24
OFT_25;CSI;46_04_A_190507120344DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_25
OFT_26;CSI;32_03_A_190507122023DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_26
OFT_27;CSI;50_04_A_190507131154DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_27
OFT_28;CSI;38_03_A_190507135747DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_28
OFT_29;CSI;56_04_A_190507144511DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_29
OFT_30;CSI;44_03_A_190507153213DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_30
OFT_31;Control;16_02_A_190507114646DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_31
OFT_32;Control;4_01_A_190507123718DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_32
OFT_34;Control;10_01_A_190507141248DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_34
OFT_35;Control;27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_35
OFT_36;Control;2_01_A_190507120240DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_36
OFT_37;Control;20_02_A_190507125529DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_37
OFT_38;Control;8_01_A_190507134142DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_38
OFT_39;Control;25_02_A_190507142904DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_39
OFT_40;Control;14_01_A_190507151530DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_40
OFT_41;Control;18_02_A_190507122004DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_41
OFT_42;Control;6_01_A_190507131058DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_42
OFT_43;Control;23_02_A_190507135734DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_43
OFT_44;Control;12_01_A_190507144429DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_44
OFT_45;Control;59_04_A_190507153228DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_45
OFT_46;Control;33_03_A_190507123759DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_46
OFT_47;Control;51_04_A_190507132728DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_47
OFT_48;Control;39_03_A_190507141319DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_48
OFT_49;Control;57_04_A_190507150030DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_49
OFT_50;Control;45_04_A_190507114741DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_50
OFT_51;Control;49_04_A_190507125609DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_51
OFT_52;Control;37_03_A_190507134213DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_52
OFT_53;Control;55_04_A_190507142930DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_53
OFT_54;Control;43_03_A_190507151557DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_54
OFT_55;Control;31_03_A_190507120320DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_55
OFT_56;Control;47_04_A_190507122047DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_56
OFT_57;Control;35_03_A_190507131135DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_57
OFT_58;Control;53_04_A_190507135800DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_58
OFT_59;Control;41_03_A_190507144457DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_59
OFT_60;Control;29_02_A_190507153158DeepCut_resnet50_Blockcourse1May9shuffle1_1030000.csv;PostCSI;Control;NA;NA;CSI_SA;CSI_SA_60
